"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2016","7,142.83","6,783.79","7,142.83","6,678.74","15.40B","5.29%"
"11/01/2016","6,783.79","6,954.22","6,997.25","6,676.56","20.47B","-2.45%"
"10/01/2016","6,954.22","6,899.33","7,129.83","6,898.09","19.25B","0.80%"
"09/01/2016","6,899.33","6,781.51","6,941.09","6,654.48","18.67B","1.74%"
"08/01/2016","6,781.51","6,724.43","6,955.34","6,615.83","16.19B","0.85%"
"07/01/2016","6,724.43","6,504.33","6,780.05","6,432.47","19.72B","3.38%"
"06/01/2016","6,504.33","6,230.79","6,504.33","5,788.74","25.47B","4.39%"
"05/01/2016","6,230.79","6,241.89","6,290.07","6,050.21","15.08B","-0.18%"
"04/01/2016","6,241.89","6,174.90","6,427.32","6,061.85","15.84B","1.08%"
"03/01/2016","6,174.90","6,097.09","6,237.02","6,036.70","16.59B","1.28%"
"02/01/2016","6,097.09","6,083.79","6,115.37","5,499.51","19.36B","0.22%"
"01/01/2016","6,083.79","6,242.32","6,242.32","5,639.88","17.94B","-2.54%"
"12/01/2015","6,242.32","6,356.09","6,447.34","5,871.88","13.85B","-1.79%"
"11/01/2015","6,356.09","6,361.09","6,459.46","6,079.79","14.57B","-0.08%"
"10/01/2015","6,361.09","6,061.61","6,487.89","6,051.62","15.69B","4.94%"
"09/01/2015","6,061.61","6,247.94","6,284.17","5,877.08","18.51B","-2.98%"
"08/01/2015","6,247.94","6,696.28","6,764.82","5,768.22","17.67B","-6.70%"
"07/01/2015","6,696.28","6,520.98","6,813.41","6,430.36","15.85B","2.69%"
"06/01/2015","6,520.98","6,984.43","7,037.58","6,520.98","16.46B","-6.64%"
"05/01/2015","6,984.43","6,960.63","7,083.72","6,810.05","15.79B","0.34%"
"04/01/2015","6,960.63","6,773.04","7,122.74","6,765.40","15.08B","2.77%"
"03/01/2015","6,773.04","6,946.66","7,065.08","6,693.80","17.92B","-2.50%"
"02/01/2015","6,946.66","6,749.40","6,967.24","6,731.99","14.79B","2.92%"
"01/01/2015","6,749.40","6,566.09","6,864.97","6,298.15","16.13B","2.79%"
