"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2020","27,231.13","26,422.71","27,340.99","25,998.87","54.55B","3.38%"
"11/01/2020","26,341.49","24,274.83","27,040.41","24,232.66","56.23B","9.27%"
"10/01/2020","24,107.42","24,039.39","24,970.59","23,674.52","37.83B","2.76%"
"09/01/2020","23,459.05","25,085.67","25,254.14","23,124.25","38.64B","-6.82%"
"08/01/2020","25,177.05","24,566.81","25,847.11","24,167.79","35.26B","2.37%"
"07/01/2020","24,595.35","24,563.57","26,782.62","24,526.91","48.70B","0.69%"
"06/01/2020","24,427.19","23,539.91","25,303.78","23,539.91","40.11B","6.38%"
"05/01/2020","22,961.47","23,895.11","24,766.83","22,519.73","37.13B","-6.83%"
"04/01/2020","24,643.59","23,365.90","24,855.47","22,756.13","36.26B","4.41%"
"03/01/2020","23,603.48","26,077.73","26,805.58","21,139.26","74.17B","-9.67%"
"02/01/2020","26,129.93","26,189.61","28,055.58","25,989.41","38.62B","-0.69%"
"01/01/2020","26,312.63","28,249.37","29,174.92","26,295.49","32.70B","-6.66%"
"12/01/2019","28,189.75","26,475.34","28,418.65","25,995.15","28.39B","7.00%"
"11/01/2019","26,346.49","26,806.44","27,900.80","26,203.97","31.94B","-2.08%"
"10/01/2019","26,906.72","25,901.47","27,027.56","25,521.95","31.53B","3.12%"
"09/01/2019","26,092.27","25,627.83","27,366.45","25,498.11","34.93B","1.43%"
"08/01/2019","25,724.73","27,582.21","27,754.04","24,899.93","42.32B","-7.39%"
"07/01/2019","27,777.75","28,904.04","29,007.98","27,701.44","26.63B","-2.68%"
"06/01/2019","28,542.62","26,909.71","28,634.48","26,671.90","34.51B","6.10%"
"05/01/2019","26,901.09","29,643.05","30,081.55","26,850.27","46.11B","-9.42%"
"04/01/2019","29,699.11","29,383.72","30,280.12","29,383.72","36.53B","2.23%"
"03/01/2019","29,051.36","28,716.60","29,486.15","28,201.09","40.14B","1.46%"
"02/01/2019","28,633.18","28,193.28","29,014.19","27,534.20","32.39B","2.47%"
"01/01/2019","27,942.47","25,824.44","28,010.90","24,896.87","39.77B","8.11%"
"12/01/2018","25,845.70","27,185.66","27,260.44","25,313.75","30.69B","-2.49%"
